Construct_Name,Description,Source,Metadata_Value
Western culture,Academic construct from OpenAlex literature.,OpenAlex,1
Intensive care unit,Academic construct from OpenAlex literature.,OpenAlex,1
Artificiality,Academic construct from OpenAlex literature.,OpenAlex,1
Virtue ethics,Academic construct from OpenAlex literature.,OpenAlex,1
Humanitarian aid,Academic construct from OpenAlex literature.,OpenAlex,1
Classification of discontinuities,Academic construct from OpenAlex literature.,OpenAlex,1
Distribution center,Academic construct from OpenAlex literature.,OpenAlex,1
Directive,Academic construct from OpenAlex literature.,OpenAlex,1
Face perception,Academic construct from OpenAlex literature.,OpenAlex,1
Political correctness,Academic construct from OpenAlex literature.,OpenAlex,1
Alterity,Academic construct from OpenAlex literature.,OpenAlex,1
Irish,Academic construct from OpenAlex literature.,OpenAlex,1
Public transport,Academic construct from OpenAlex literature.,OpenAlex,1
Participatory design,Academic construct from OpenAlex literature.,OpenAlex,1
Sedentary behavior,Academic construct from OpenAlex literature.,OpenAlex,1
Social withdrawal,Academic construct from OpenAlex literature.,OpenAlex,1
Typing,Academic construct from OpenAlex literature.,OpenAlex,1
Varimax rotation,Academic construct from OpenAlex literature.,OpenAlex,1
Iraq war,Academic construct from OpenAlex literature.,OpenAlex,1
Media coverage,Academic construct from OpenAlex literature.,OpenAlex,1
Nuisance,Academic construct from OpenAlex literature.,OpenAlex,1
Orality,Academic construct from OpenAlex literature.,OpenAlex,1
Physical illness,Academic construct from OpenAlex literature.,OpenAlex,1
Professional services,Academic construct from OpenAlex literature.,OpenAlex,1
HERO,Academic construct from OpenAlex literature.,OpenAlex,1
Insolvency,Academic construct from OpenAlex literature.,OpenAlex,1
Grice,Academic construct from OpenAlex literature.,OpenAlex,1
Pragmatics,Academic construct from OpenAlex literature.,OpenAlex,1
Hickey,Academic construct from OpenAlex literature.,OpenAlex,1
Longitudinal sample,Academic construct from OpenAlex literature.,OpenAlex,1
Legal profession,Academic construct from OpenAlex literature.,OpenAlex,1
Interpersonal influence,Academic construct from OpenAlex literature.,OpenAlex,1
Inductive reasoning,Academic construct from OpenAlex literature.,OpenAlex,1
Genius,Academic construct from OpenAlex literature.,OpenAlex,1
Magnet,Academic construct from OpenAlex literature.,OpenAlex,1
Discriminant,Academic construct from OpenAlex literature.,OpenAlex,1
Magnetic reluctance,Academic construct from OpenAlex literature.,OpenAlex,1
Visibility,Academic construct from OpenAlex literature.,OpenAlex,1
A priori and a posteriori,Academic construct from OpenAlex literature.,OpenAlex,1
Inductive method,Academic construct from OpenAlex literature.,OpenAlex,1
Downtime,Academic construct from OpenAlex literature.,OpenAlex,1
Idle,Academic construct from OpenAlex literature.,OpenAlex,1
Disaster recovery,Academic construct from OpenAlex literature.,OpenAlex,1
Debris,Academic construct from OpenAlex literature.,OpenAlex,1
Fetal alcohol,Academic construct from OpenAlex literature.,OpenAlex,1
Fetal Alcohol Spectrum Disorder,Academic construct from OpenAlex literature.,OpenAlex,1
Concordance,Academic construct from OpenAlex literature.,OpenAlex,1
Entry Level,Academic construct from OpenAlex literature.,OpenAlex,1
Personal account,Academic construct from OpenAlex literature.,OpenAlex,1
Asynchronous communication,Academic construct from OpenAlex literature.,OpenAlex,1
Personal information management,Academic construct from OpenAlex literature.,OpenAlex,1
Wife,Academic construct from OpenAlex literature.,OpenAlex,1
Hybridity,Academic construct from OpenAlex literature.,OpenAlex,1
Brother,Academic construct from OpenAlex literature.,OpenAlex,1
Sister,Academic construct from OpenAlex literature.,OpenAlex,1
Welfare state,Academic construct from OpenAlex literature.,OpenAlex,1
Information center,Academic construct from OpenAlex literature.,OpenAlex,1
Commons,Academic construct from OpenAlex literature.,OpenAlex,1
Gold coast,Academic construct from OpenAlex literature.,OpenAlex,1
Profit sharing,Academic construct from OpenAlex literature.,OpenAlex,1
Appropriation,Academic construct from OpenAlex literature.,OpenAlex,1
Adjective check list,Academic construct from OpenAlex literature.,OpenAlex,1
Vetting,Academic construct from OpenAlex literature.,OpenAlex,1
Pathfinder,Academic construct from OpenAlex literature.,OpenAlex,1
Accident insurance,Academic construct from OpenAlex literature.,OpenAlex,1
Hinduism,Academic construct from OpenAlex literature.,OpenAlex,1
Missing data,Academic construct from OpenAlex literature.,OpenAlex,1
Synchronous learning,Academic construct from OpenAlex literature.,OpenAlex,1
Knowledge survey,Academic construct from OpenAlex literature.,OpenAlex,1
Asynchronous learning,Academic construct from OpenAlex literature.,OpenAlex,1
Summative assessment,Academic construct from OpenAlex literature.,OpenAlex,1
Impartiality,Academic construct from OpenAlex literature.,OpenAlex,1
Hermeneutic phenomenology,Academic construct from OpenAlex literature.,OpenAlex,1
Ideal point,Academic construct from OpenAlex literature.,OpenAlex,1
Code of practice,Academic construct from OpenAlex literature.,OpenAlex,1
Humanoid robot,Academic construct from OpenAlex literature.,OpenAlex,1
Grassroots,Academic construct from OpenAlex literature.,OpenAlex,1
Terror management theory,Academic construct from OpenAlex literature.,OpenAlex,1
Mortality salience,Academic construct from OpenAlex literature.,OpenAlex,1
Cognitive flexibility,Academic construct from OpenAlex literature.,OpenAlex,1
Loan,Academic construct from OpenAlex literature.,OpenAlex,1
Gene expression,Academic construct from OpenAlex literature.,OpenAlex,1
Psychological repression,Academic construct from OpenAlex literature.,OpenAlex,1
Rules of engagement,Academic construct from OpenAlex literature.,OpenAlex,1
Governmentality,Academic construct from OpenAlex literature.,OpenAlex,1
Meal,Academic construct from OpenAlex literature.,OpenAlex,1
Corollary,Academic construct from OpenAlex literature.,OpenAlex,1
Emotional disorder,Academic construct from OpenAlex literature.,OpenAlex,1
Vendor,Academic construct from OpenAlex literature.,OpenAlex,1
Self-realization,Academic construct from OpenAlex literature.,OpenAlex,1
Caste,Academic construct from OpenAlex literature.,OpenAlex,1
Variable cost,Academic construct from OpenAlex literature.,OpenAlex,1
Japanese studies,Academic construct from OpenAlex literature.,OpenAlex,1
Japanese culture,Academic construct from OpenAlex literature.,OpenAlex,1
Self-organization,Academic construct from OpenAlex literature.,OpenAlex,1
Self organisation,Academic construct from OpenAlex literature.,OpenAlex,1
Slump,Academic construct from OpenAlex literature.,OpenAlex,1
Reversing,Academic construct from OpenAlex literature.,OpenAlex,1
False positive rate,Academic construct from OpenAlex literature.,OpenAlex,1
Proxemics,Academic construct from OpenAlex literature.,OpenAlex,1
Kinesics,Academic construct from OpenAlex literature.,OpenAlex,1
False positive paradox,Academic construct from OpenAlex literature.,OpenAlex,1
Galaxy,Academic construct from OpenAlex literature.,OpenAlex,1
Halo effect,Academic construct from OpenAlex literature.,OpenAlex,1
Halo,Academic construct from OpenAlex literature.,OpenAlex,1
Demise,Academic construct from OpenAlex literature.,OpenAlex,1
Gender equality,Academic construct from OpenAlex literature.,OpenAlex,1
Gender mainstreaming,Academic construct from OpenAlex literature.,OpenAlex,1
Mainstreaming,Academic construct from OpenAlex literature.,OpenAlex,1
Peer mentoring,Academic construct from OpenAlex literature.,OpenAlex,1
Haven,Academic construct from OpenAlex literature.,OpenAlex,1
Rappaport,Academic construct from OpenAlex literature.,OpenAlex,1
Life expectancy,Academic construct from OpenAlex literature.,OpenAlex,1
Scaffold,Academic construct from OpenAlex literature.,OpenAlex,1
Exoskeleton,Academic construct from OpenAlex literature.,OpenAlex,1
Cement,Academic construct from OpenAlex literature.,OpenAlex,1
Support vector machine,Academic construct from OpenAlex literature.,OpenAlex,1
Black culture,Academic construct from OpenAlex literature.,OpenAlex,1
Percentile rank,Academic construct from OpenAlex literature.,OpenAlex,1
Persona,Academic construct from OpenAlex literature.,OpenAlex,1
Detector,Academic construct from OpenAlex literature.,OpenAlex,1
Semantic similarity,Academic construct from OpenAlex literature.,OpenAlex,1
Sales management,Academic construct from OpenAlex literature.,OpenAlex,1
Disappointment,Academic construct from OpenAlex literature.,OpenAlex,1
Psychological trauma,Academic construct from OpenAlex literature.,OpenAlex,1
Clinical social work,Academic construct from OpenAlex literature.,OpenAlex,1
Escalation of commitment,Academic construct from OpenAlex literature.,OpenAlex,1
Sunk costs,Academic construct from OpenAlex literature.,OpenAlex,1
Déjà vu,Academic construct from OpenAlex literature.,OpenAlex,1
Air traffic controller,Academic construct from OpenAlex literature.,OpenAlex,1
Hopefulness,Academic construct from OpenAlex literature.,OpenAlex,1
Pilgrimage,Academic construct from OpenAlex literature.,OpenAlex,1
Presupposition,Academic construct from OpenAlex literature.,OpenAlex,1
African culture,Academic construct from OpenAlex literature.,OpenAlex,1
Classroom climate,Academic construct from OpenAlex literature.,OpenAlex,1
Product category,Academic construct from OpenAlex literature.,OpenAlex,1
Product type,Academic construct from OpenAlex literature.,OpenAlex,1
Afghan,Academic construct from OpenAlex literature.,OpenAlex,1
New guinea,Academic construct from OpenAlex literature.,OpenAlex,1
Soundness,Academic construct from OpenAlex literature.,OpenAlex,1
Amnesty,Academic construct from OpenAlex literature.,OpenAlex,1
Smart manufacturing,Academic construct from OpenAlex literature.,OpenAlex,1
Limited English proficiency,Academic construct from OpenAlex literature.,OpenAlex,1
Nice,Academic construct from OpenAlex literature.,OpenAlex,1
Sexual violence,Academic construct from OpenAlex literature.,OpenAlex,1
Social control,Academic construct from OpenAlex literature.,OpenAlex,1
Semiotics,Academic construct from OpenAlex literature.,OpenAlex,1
Praise,Academic construct from OpenAlex literature.,OpenAlex,1
Social sector,Academic construct from OpenAlex literature.,OpenAlex,1
Submarine pipeline,Academic construct from OpenAlex literature.,OpenAlex,1
Offshore oil and gas,Academic construct from OpenAlex literature.,OpenAlex,1
Regret,Academic construct from OpenAlex literature.,OpenAlex,1
Sierra leone,Academic construct from OpenAlex literature.,OpenAlex,1
Information quality,Academic construct from OpenAlex literature.,OpenAlex,1
Honour,Academic construct from OpenAlex literature.,OpenAlex,1
Racial bias,Academic construct from OpenAlex literature.,OpenAlex,1
Insider threat,Academic construct from OpenAlex literature.,OpenAlex,1
Substance use,Academic construct from OpenAlex literature.,OpenAlex,1
Sadness,Academic construct from OpenAlex literature.,OpenAlex,1
Negative mood,Academic construct from OpenAlex literature.,OpenAlex,1
Art therapy,Academic construct from OpenAlex literature.,OpenAlex,1
Chronotype,Academic construct from OpenAlex literature.,OpenAlex,1
Dialog box,Academic construct from OpenAlex literature.,OpenAlex,1
Frame work,Academic construct from OpenAlex literature.,OpenAlex,1
Publicity,Academic construct from OpenAlex literature.,OpenAlex,1
Social activism,Academic construct from OpenAlex literature.,OpenAlex,1
Threatened species,Academic construct from OpenAlex literature.,OpenAlex,1
Habitat,Academic construct from OpenAlex literature.,OpenAlex,1
Hearing aid,Academic construct from OpenAlex literature.,OpenAlex,1
Avatar,Academic construct from OpenAlex literature.,OpenAlex,1
Germination,Academic construct from OpenAlex literature.,OpenAlex,1
Theory of multiple intelligences,Academic construct from OpenAlex literature.,OpenAlex,1
Youth studies,Academic construct from OpenAlex literature.,OpenAlex,1
Indian subcontinent,Academic construct from OpenAlex literature.,OpenAlex,1
Xenophobia,Academic construct from OpenAlex literature.,OpenAlex,1
Gross margin,Academic construct from OpenAlex literature.,OpenAlex,1
Chinese americans,Academic construct from OpenAlex literature.,OpenAlex,1
Attention deficit,Academic construct from OpenAlex literature.,OpenAlex,1
Negation,Academic construct from OpenAlex literature.,OpenAlex,1
Medical profession,Academic construct from OpenAlex literature.,OpenAlex,1
Identity change,Academic construct from OpenAlex literature.,OpenAlex,1
Medical information,Academic construct from OpenAlex literature.,OpenAlex,1
Privacy policy,Academic construct from OpenAlex literature.,OpenAlex,1
Natural disaster,Academic construct from OpenAlex literature.,OpenAlex,1
Serodiscordant,Academic construct from OpenAlex literature.,OpenAlex,1
Antiretroviral therapy,Academic construct from OpenAlex literature.,OpenAlex,1
Cyber bullying,Academic construct from OpenAlex literature.,OpenAlex,1
Two-alternative forced choice,Academic construct from OpenAlex literature.,OpenAlex,1
Autocracy,Academic construct from OpenAlex literature.,OpenAlex,1
Mind-wandering,Academic construct from OpenAlex literature.,OpenAlex,1
Services marketing,Academic construct from OpenAlex literature.,OpenAlex,1
Peacebuilding,Academic construct from OpenAlex literature.,OpenAlex,1
Emerald,Academic construct from OpenAlex literature.,OpenAlex,1
Ecological succession,Academic construct from OpenAlex literature.,OpenAlex,1
Test theory,Academic construct from OpenAlex literature.,OpenAlex,1
Blind spot,Academic construct from OpenAlex literature.,OpenAlex,1
Franchise,Academic construct from OpenAlex literature.,OpenAlex,1
Cuboid,Academic construct from OpenAlex literature.,OpenAlex,1
Millennium Development Goals,Academic construct from OpenAlex literature.,OpenAlex,1
Substance abuse treatment,Academic construct from OpenAlex literature.,OpenAlex,1
Substance dependence,Academic construct from OpenAlex literature.,OpenAlex,1
Corporal punishment,Academic construct from OpenAlex literature.,OpenAlex,1
Social anxiety,Academic construct from OpenAlex literature.,OpenAlex,1
Insourcing,Academic construct from OpenAlex literature.,OpenAlex,1
Transphobia,Academic construct from OpenAlex literature.,OpenAlex,1
Event-related potential,Academic construct from OpenAlex literature.,OpenAlex,1
Anagram,Academic construct from OpenAlex literature.,OpenAlex,1
Interactionism,Academic construct from OpenAlex literature.,OpenAlex,1
Expressed emotion,Academic construct from OpenAlex literature.,OpenAlex,1
Viral load,Academic construct from OpenAlex literature.,OpenAlex,1
Conduct disorder,Academic construct from OpenAlex literature.,OpenAlex,1
Unemployment rate,Academic construct from OpenAlex literature.,OpenAlex,1
Herd behavior,Academic construct from OpenAlex literature.,OpenAlex,1
Stochastic game,Academic construct from OpenAlex literature.,OpenAlex,1
Overweight,Academic construct from OpenAlex literature.,OpenAlex,1
Generosity,Academic construct from OpenAlex literature.,OpenAlex,1
Herding,Academic construct from OpenAlex literature.,OpenAlex,1
Uses and gratifications theory,Academic construct from OpenAlex literature.,OpenAlex,1
Instant messaging,Academic construct from OpenAlex literature.,OpenAlex,1
New media,Academic construct from OpenAlex literature.,OpenAlex,1
Microblogging,Academic construct from OpenAlex literature.,OpenAlex,1
Ephemeral key,Academic construct from OpenAlex literature.,OpenAlex,1
Abductive reasoning,Academic construct from OpenAlex literature.,OpenAlex,1
Standardized test,Academic construct from OpenAlex literature.,OpenAlex,1
Gender gap,Academic construct from OpenAlex literature.,OpenAlex,1
Achievement test,Academic construct from OpenAlex literature.,OpenAlex,1
Social enterprise,Academic construct from OpenAlex literature.,OpenAlex,1
Start up,Academic construct from OpenAlex literature.,OpenAlex,1
Breakup,Academic construct from OpenAlex literature.,OpenAlex,1
Underwater,Academic construct from OpenAlex literature.,OpenAlex,1
Adverse Childhood Experiences,Academic construct from OpenAlex literature.,OpenAlex,1
Pupillometry,Academic construct from OpenAlex literature.,OpenAlex,1
Naturalness,Academic construct from OpenAlex literature.,OpenAlex,1
Common core,Academic construct from OpenAlex literature.,OpenAlex,1
Quantum,Academic construct from OpenAlex literature.,OpenAlex,1
Security policy,Academic construct from OpenAlex literature.,OpenAlex,1
Cooperative game theory,Academic construct from OpenAlex literature.,OpenAlex,1
Fuzzy measure theory,Academic construct from OpenAlex literature.,OpenAlex,1
Internet users,Academic construct from OpenAlex literature.,OpenAlex,1
Women entrepreneurs,Academic construct from OpenAlex literature.,OpenAlex,1
Antisocial personality disorder,Academic construct from OpenAlex literature.,OpenAlex,1
Transplantation,Academic construct from OpenAlex literature.,OpenAlex,1
Organ donation,Academic construct from OpenAlex literature.,OpenAlex,1
Critical reflection,Academic construct from OpenAlex literature.,OpenAlex,1
Marketing management,Academic construct from OpenAlex literature.,OpenAlex,1
Relationship marketing,Academic construct from OpenAlex literature.,OpenAlex,1
Universal precautions,Academic construct from OpenAlex literature.,OpenAlex,1
Asia pacific,Academic construct from OpenAlex literature.,OpenAlex,1
Activity-based costing,Academic construct from OpenAlex literature.,OpenAlex,1
Problem of universals,Academic construct from OpenAlex literature.,OpenAlex,1
Hearing protection,Academic construct from OpenAlex literature.,OpenAlex,1
Magnetic field,Academic construct from OpenAlex literature.,OpenAlex,1
Family member,Academic construct from OpenAlex literature.,OpenAlex,1
Self-fulfilling prophecy,Academic construct from OpenAlex literature.,OpenAlex,1
Astrology,Academic construct from OpenAlex literature.,OpenAlex,1
Prospective cohort study,Academic construct from OpenAlex literature.,OpenAlex,1
Differential effects,Academic construct from OpenAlex literature.,OpenAlex,1
Sociology of sport,Academic construct from OpenAlex literature.,OpenAlex,1
Argumentation theory,Academic construct from OpenAlex literature.,OpenAlex,1
Morning,Academic construct from OpenAlex literature.,OpenAlex,1
Face negotiation theory,Academic construct from OpenAlex literature.,OpenAlex,1
Biological sex,Academic construct from OpenAlex literature.,OpenAlex,1
Antibody,Academic construct from OpenAlex literature.,OpenAlex,1
Toxoplasma gondii,Academic construct from OpenAlex literature.,OpenAlex,1
Anonymity,Academic construct from OpenAlex literature.,OpenAlex,1
Foreign born,Academic construct from OpenAlex literature.,OpenAlex,1
Design technology,Academic construct from OpenAlex literature.,OpenAlex,1
Cohort effect,Academic construct from OpenAlex literature.,OpenAlex,1
Communication source,Academic construct from OpenAlex literature.,OpenAlex,1
Arbitrariness,Academic construct from OpenAlex literature.,OpenAlex,1
State-Trait Anxiety Inventory,Academic construct from OpenAlex literature.,OpenAlex,1
Multiplicative function,Academic construct from OpenAlex literature.,OpenAlex,1
Peer victimization,Academic construct from OpenAlex literature.,OpenAlex,1
Hiv test,Academic construct from OpenAlex literature.,OpenAlex,1
Exhibitionism,Academic construct from OpenAlex literature.,OpenAlex,1
Local independence,Academic construct from OpenAlex literature.,OpenAlex,1
User-centered design,Academic construct from OpenAlex literature.,OpenAlex,1
Notional amount,Academic construct from OpenAlex literature.,OpenAlex,1
Alcohol consumption,Academic construct from OpenAlex literature.,OpenAlex,1
Jurisdiction,Academic construct from OpenAlex literature.,OpenAlex,1
Political violence,Academic construct from OpenAlex literature.,OpenAlex,1
Political ecology,Academic construct from OpenAlex literature.,OpenAlex,1
Environmentalism,Academic construct from OpenAlex literature.,OpenAlex,1
International relations,Academic construct from OpenAlex literature.,OpenAlex,1
Ice hockey,Academic construct from OpenAlex literature.,OpenAlex,1
Source credibility,Academic construct from OpenAlex literature.,OpenAlex,1
Concreteness,Academic construct from OpenAlex literature.,OpenAlex,1
Peaceful coexistence,Academic construct from OpenAlex literature.,OpenAlex,1
Sexual relationship,Academic construct from OpenAlex literature.,OpenAlex,1
Functional organization,Academic construct from OpenAlex literature.,OpenAlex,1
Strategic design,Academic construct from OpenAlex literature.,OpenAlex,1
Youth sports,Academic construct from OpenAlex literature.,OpenAlex,1
Low and middle income countries,Academic construct from OpenAlex literature.,OpenAlex,1
Interface design,Academic construct from OpenAlex literature.,OpenAlex,1
Physical fitness,Academic construct from OpenAlex literature.,OpenAlex,1
Brand management,Academic construct from OpenAlex literature.,OpenAlex,1
Brand preference,Academic construct from OpenAlex literature.,OpenAlex,1
Youth work,Academic construct from OpenAlex literature.,OpenAlex,1
Free riding,Academic construct from OpenAlex literature.,OpenAlex,1
Experiential avoidance,Academic construct from OpenAlex literature.,OpenAlex,1
National Comorbidity Survey,Academic construct from OpenAlex literature.,OpenAlex,1
CIDI,Academic construct from OpenAlex literature.,OpenAlex,1
Delphi,Academic construct from OpenAlex literature.,OpenAlex,1
Interclass correlation,Academic construct from OpenAlex literature.,OpenAlex,1
Finkelstein's test,Academic construct from OpenAlex literature.,OpenAlex,1
Basic income,Academic construct from OpenAlex literature.,OpenAlex,1
Network structure,Academic construct from OpenAlex literature.,OpenAlex,1
Network formation,Academic construct from OpenAlex literature.,OpenAlex,1
Authorization,Academic construct from OpenAlex literature.,OpenAlex,1
Dementia,Academic construct from OpenAlex literature.,OpenAlex,1
Elevator,Academic construct from OpenAlex literature.,OpenAlex,1
3D printing,Academic construct from OpenAlex literature.,OpenAlex,1
Polity,Academic construct from OpenAlex literature.,OpenAlex,1
Path coefficient,Academic construct from OpenAlex literature.,OpenAlex,1
Fundamental rights,Academic construct from OpenAlex literature.,OpenAlex,1
Cultural rights,Academic construct from OpenAlex literature.,OpenAlex,1
Borderline personality disorder,Academic construct from OpenAlex literature.,OpenAlex,1
Dialectical behavior therapy,Academic construct from OpenAlex literature.,OpenAlex,1
Exhibition,Academic construct from OpenAlex literature.,OpenAlex,1
Caregiver stress,Academic construct from OpenAlex literature.,OpenAlex,1
Psychographic,Academic construct from OpenAlex literature.,OpenAlex,1
Panel survey,Academic construct from OpenAlex literature.,OpenAlex,1
Part-time employment,Academic construct from OpenAlex literature.,OpenAlex,1
Aotearoa,Academic construct from OpenAlex literature.,OpenAlex,1
Social unrest,Academic construct from OpenAlex literature.,OpenAlex,1
Secrecy,Academic construct from OpenAlex literature.,OpenAlex,1
Grief,Academic construct from OpenAlex literature.,OpenAlex,1
Insurance industry,Academic construct from OpenAlex literature.,OpenAlex,1
East Asia,Academic construct from OpenAlex literature.,OpenAlex,1
Relapse prevention,Academic construct from OpenAlex literature.,OpenAlex,1
Curvilinear coordinates,Academic construct from OpenAlex literature.,OpenAlex,1
Shrinkage,Academic construct from OpenAlex literature.,OpenAlex,1
Inventory turnover,Academic construct from OpenAlex literature.,OpenAlex,1
Refugee crisis,Academic construct from OpenAlex literature.,OpenAlex,1
Mediterranean climate,Academic construct from OpenAlex literature.,OpenAlex,1
Scientific misconduct,Academic construct from OpenAlex literature.,OpenAlex,1
Information seeking,Academic construct from OpenAlex literature.,OpenAlex,1
Resting state fMRI,Academic construct from OpenAlex literature.,OpenAlex,1
False discovery rate,Academic construct from OpenAlex literature.,OpenAlex,1
Illness behavior,Academic construct from OpenAlex literature.,OpenAlex,1
Bottleneck,Academic construct from OpenAlex literature.,OpenAlex,1
Library management,Academic construct from OpenAlex literature.,OpenAlex,1
Civil aviation,Academic construct from OpenAlex literature.,OpenAlex,1
Teleology,Academic construct from OpenAlex literature.,OpenAlex,1
Countermeasure,Academic construct from OpenAlex literature.,OpenAlex,1
Control room,Academic construct from OpenAlex literature.,OpenAlex,1
Nuclear power,Academic construct from OpenAlex literature.,OpenAlex,1
Monitoring and control,Academic construct from OpenAlex literature.,OpenAlex,1
Precondition,Academic construct from OpenAlex literature.,OpenAlex,1
Calmness,Academic construct from OpenAlex literature.,OpenAlex,1
NonStop,Academic construct from OpenAlex literature.,OpenAlex,1
Socialist market economy,Academic construct from OpenAlex literature.,OpenAlex,1
Planned economy,Academic construct from OpenAlex literature.,OpenAlex,1
Early childhood,Academic construct from OpenAlex literature.,OpenAlex,1
Environmental justice,Academic construct from OpenAlex literature.,OpenAlex,1
Mine safety,Academic construct from OpenAlex literature.,OpenAlex,1
Common sense,Academic construct from OpenAlex literature.,OpenAlex,1
Contemplation,Academic construct from OpenAlex literature.,OpenAlex,1
Peasant,Academic construct from OpenAlex literature.,OpenAlex,1
Eating disorders,Academic construct from OpenAlex literature.,OpenAlex,1
Sick role,Academic construct from OpenAlex literature.,OpenAlex,1
Group psychotherapy,Academic construct from OpenAlex literature.,OpenAlex,1
Enterprise risk management,Academic construct from OpenAlex literature.,OpenAlex,1
First world war,Academic construct from OpenAlex literature.,OpenAlex,1
Starter,Academic construct from OpenAlex literature.,OpenAlex,1
Obituary,Academic construct from OpenAlex literature.,OpenAlex,1
Operant conditioning,Academic construct from OpenAlex literature.,OpenAlex,1
Child care,Academic construct from OpenAlex literature.,OpenAlex,1
Curiosity,Academic construct from OpenAlex literature.,OpenAlex,1
Communication apprehension,Academic construct from OpenAlex literature.,OpenAlex,1
Anger management,Academic construct from OpenAlex literature.,OpenAlex,1
Austerity,Academic construct from OpenAlex literature.,OpenAlex,1
Shire,Academic construct from OpenAlex literature.,OpenAlex,1
Fraternity,Academic construct from OpenAlex literature.,OpenAlex,1
Somali,Academic construct from OpenAlex literature.,OpenAlex,1
Conservatism,Academic construct from OpenAlex literature.,OpenAlex,1
Mindfulness meditation,Academic construct from OpenAlex literature.,OpenAlex,1
Sociological theory,Academic construct from OpenAlex literature.,OpenAlex,1
Critical thinking,Academic construct from OpenAlex literature.,OpenAlex,1
Core curriculum,Academic construct from OpenAlex literature.,OpenAlex,1
Prism,Academic construct from OpenAlex literature.,OpenAlex,1
Meta-regression,Academic construct from OpenAlex literature.,OpenAlex,1
Bioethics,Academic construct from OpenAlex literature.,OpenAlex,1
Tweaking,Academic construct from OpenAlex literature.,OpenAlex,1
Respite care,Academic construct from OpenAlex literature.,OpenAlex,1
Charter,Academic construct from OpenAlex literature.,OpenAlex,1
Involuntary unemployment,Academic construct from OpenAlex literature.,OpenAlex,1
Community work,Academic construct from OpenAlex literature.,OpenAlex,1
Unison,Academic construct from OpenAlex literature.,OpenAlex,1
Karl popper,Academic construct from OpenAlex literature.,OpenAlex,1
Recombinant DNA,Academic construct from OpenAlex literature.,OpenAlex,1
Stroop effect,Academic construct from OpenAlex literature.,OpenAlex,1
Mace,Academic construct from OpenAlex literature.,OpenAlex,1
Conventional PCI,Academic construct from OpenAlex literature.,OpenAlex,1
Myocardial infarction,Academic construct from OpenAlex literature.,OpenAlex,1
Undo,Academic construct from OpenAlex literature.,OpenAlex,1
Canonical correlation,Academic construct from OpenAlex literature.,OpenAlex,1
Decision problem,Academic construct from OpenAlex literature.,OpenAlex,1
Efficiency wage,Academic construct from OpenAlex literature.,OpenAlex,1
Solver,Academic construct from OpenAlex literature.,OpenAlex,1
Problem solver,Academic construct from OpenAlex literature.,OpenAlex,1
Homeland,Academic construct from OpenAlex literature.,OpenAlex,1
Scapegoating,Academic construct from OpenAlex literature.,OpenAlex,1
Ingredient,Academic construct from OpenAlex literature.,OpenAlex,1
Multiple disabilities,Academic construct from OpenAlex literature.,OpenAlex,1
Recreation,Academic construct from OpenAlex literature.,OpenAlex,1
White supremacy,Academic construct from OpenAlex literature.,OpenAlex,1
Position statement,Academic construct from OpenAlex literature.,OpenAlex,1
Problem statement,Academic construct from OpenAlex literature.,OpenAlex,1
Credence,Academic construct from OpenAlex literature.,OpenAlex,1
Insurgency,Academic construct from OpenAlex literature.,OpenAlex,1
SAINT,Academic construct from OpenAlex literature.,OpenAlex,1
Social conflict,Academic construct from OpenAlex literature.,OpenAlex,1
Ethnic conflict,Academic construct from OpenAlex literature.,OpenAlex,1
Bellows,Academic construct from OpenAlex literature.,OpenAlex,1
Vice president,Academic construct from OpenAlex literature.,OpenAlex,1
Weight loss,Academic construct from OpenAlex literature.,OpenAlex,1
Medical tourism,Academic construct from OpenAlex literature.,OpenAlex,1
Post-industrial society,Academic construct from OpenAlex literature.,OpenAlex,1
Taste,Academic construct from OpenAlex literature.,OpenAlex,1
Yesterday,Academic construct from OpenAlex literature.,OpenAlex,1
Torture,Academic construct from OpenAlex literature.,OpenAlex,1
Urbanization,Academic construct from OpenAlex literature.,OpenAlex,1
Defence mechanisms,Academic construct from OpenAlex literature.,OpenAlex,1
Croatian,Academic construct from OpenAlex literature.,OpenAlex,1
Parenting styles,Academic construct from OpenAlex literature.,OpenAlex,1
Straddle,Academic construct from OpenAlex literature.,OpenAlex,1
Regulatory agency,Academic construct from OpenAlex literature.,OpenAlex,1
Annotated bibliography,Academic construct from OpenAlex literature.,OpenAlex,1
Control variable,Academic construct from OpenAlex literature.,OpenAlex,1
Snow,Academic construct from OpenAlex literature.,OpenAlex,1
Sick child,Academic construct from OpenAlex literature.,OpenAlex,1
Decree,Academic construct from OpenAlex literature.,OpenAlex,1
Emperor,Academic construct from OpenAlex literature.,OpenAlex,1
Working mother,Academic construct from OpenAlex literature.,OpenAlex,1
Childhood abuse,Academic construct from OpenAlex literature.,OpenAlex,1
Typeface,Academic construct from OpenAlex literature.,OpenAlex,1
Maritime safety,Academic construct from OpenAlex literature.,OpenAlex,1
Future orientation,Academic construct from OpenAlex literature.,OpenAlex,1
Resource allocation,Academic construct from OpenAlex literature.,OpenAlex,1
Fibromyalgia syndrome,Academic construct from OpenAlex literature.,OpenAlex,1
Recidivism,Academic construct from OpenAlex literature.,OpenAlex,1
Design thinking,Academic construct from OpenAlex literature.,OpenAlex,1
Work flow,Academic construct from OpenAlex literature.,OpenAlex,1
